;"9";"Лена";"tookeescho@umr.ru";"5";"Спасибо огромное за помощь, за хорошую и качественную работу. Спасибо за понимание.";"2017-02-07 11:02:24"
;"6";"Игорь";"chiachiaschy@smtp.ru";"3";"Остался доволен качеством оказания услуг и профессионализмом сотрудников. Буду рад работать с Вашей компанией еще.";"2017-01-18 20:24:00"
;"17";"Кирилл";"lequoux@narod.ru";"3";"Все было сделано очень качественно и быстро. Спасибо за профессиональный и индивидуальный подход.";"2017-03-01 21:36:00"
;"6";"Елена";"gjiciepig@visto.com";"2";"Профессильнально и объективно. Ваши сотрудники отлично владеют информацией и доносят ее быстро и качественно. Приятно было иметь дело.";"2017-02-26 01:26:24"
;"3";"Марта";"hohjuchji@sexnarod.ru";"1";"Особую благодарность хочу выразить за скорость и качество работы. Огромное спасибо.";"2017-02-22 23:02:24"
;"11";"Алексей";"lyexag@inbox.ru";"3";"У меня 3 действующих кредита, но не смотря на это ребята помогли оформить еще 2 нужную сумму.";"2017-01-23 05:02:24"
;"7";"Станислав";"jjequieg@smtp.ru";"2";"До этого был кредит с просрочкой, помогли оформить правильно заявку и направили в правильные банки, заняла процедура 3 дня, но кредит таки дали.";"2017-02-28 02:24:00"
;"1";"Анатолий";"xohaequiex@narod.ru";"5";"Очень помогают особенно в случае когда срочно нужны деньги. При этом не большая комиссия, тогда когда в других компаниях дерут втридорого. Спасибо!";"2017-02-12 12:14:24"
;"19";"Светлана";"mjec@visto.com";"1";"Есть «конторы», которые по 50% берут комиссию, так что Кредит ОК – это самый дешевый вариант!";"2017-01-13 00:14:24"
;"11";"Анна";"xjathia@chat.ru";"5";"Простой и удобный сервис. Так же быстро помогли взять кредит. Спасибо.";"2017-02-05 03:07:12"
;"16";"Денис";"theezjosh@newmail.ru";"5";"Хорошая, качественная работа, кредит получен на достаточно выгодных условиях, при минимально затраченном времени.";"2017-01-16 13:26:24"
;"20";"Екатерина";"xiaga@yahoo.com";"5";"Очень рада , что обратилась именно к вам, менеджеры работают быстро, слажено буду советовать вас своим знакомым.";"2017-01-03 20:52:48"
;"17";"Тарас";"jopygjo@sexnarod.ru";"2";"Дуже сподобалося наскільки швидко зі мною зв’язалися співробітники цього сервісу та запропонували можливі варіанти вирішення мого питання. Дякую. Обов’язково звернуся ще.";"2017-02-11 10:33:36"
;"7";"Надежда";"rjuxyi@nihuja.net";"3";"Все просто замечательно! Очень понравилось работать с Вашей компанией. Быстро и качественно предоставлялись услуги.";"2017-02-03 00:57:36"
;"17";"Роман";"nivyi@usa.net";"3";"Искал кредит онлайн, пересмотрел кучу сайтов, этот сайт приглянулся больше всего и не прогадал. Всё оказалась просто и быстро, а главное помогли. Спасибо.";"2017-01-29 19:40:48"
;"16";"Михаил Комахин";"cuv@sexnarod.ru";"5";"Более простого и доступного сервиса в интернете не нашёл. Всё понравилось. Спасибо.";"2017-02-04 16:33:36"
;"16";"Татьяна";"gyocjudye@yahoo.com";"2";"Я бегала по многим банкам, столько времени потратила и все зря. Тут просто заявку оставила, один раз съездила и деньги забрала в этот же день. Все быстро и просто.";"2017-01-05 09:36:00"
;"1";"Алексей Виктров";"bjosjot@max.ru";"5";"Очень понравилось, что на сайте всё расписано и платёж можно самому рассчитать и контактные телефоны есть, воспользовался помощью онлайн, там тоже быстро ответили. Внушает доверие.";"2017-02-15 03:21:36"
;"16";"Дарья";"shiohyusjoch@lycos.com";"1";"Очень, рада, что узнала о вас. Очень положительные отзывы на момент согласования кредита. Надеюсь, что мнение мое не изменится. Спасибо большое всем ребятам!";"2017-02-08 21:07:12"
;"3";"Григорий";"gijieb@mail.ru";"3";"Несмотря на множество мошенников и недобросовестных компаний этот сайт реально полезен. Он у меня даже в избранном закреплен, мало ли когда понадобится. Вчера оформляли кредит свекру. Все получилось!";"2017-02-26 02:52:48"
